Longitude,Latitude,Confidence
-60.18191,-32.88113,nominal
-60.18729,-32.87965,nominal
-60.18106,-32.87735,nominal
-60.18556,-32.87704,nominal
-60.18228,-32.87825,nominal
-60.18679,-32.87798,nominal
-60.18281,-32.88394,high
-60.18732,-32.88366,nominal
-60.18783,-32.88934,nominal
-60.18335,-32.88963,nominal
-60.18839,-32.89503,nominal
-60.20095,-32.91619,high
-60.19685,-32.91536,nominal
-60.20503,-32.91704,nominal
-60.19600,-32.91525,nominal
-60.20011,-32.91607,nominal
-60.20420,-32.91689,nominal
-60.19713,-32.91127,high
-60.20123,-32.91209,high
-60.18892,-32.90963,nominal
-60.20942,-32.91373,nominal
-60.20532,-32.91291,low
-60.19825,-32.90730,high
-60.20235,-32.90812,high
-60.18594,-32.90483,nominal
-60.19004,-32.90565,low
-60.19416,-32.90648,low
-60.20644,-32.90894,low
-60.19938,-32.90332,high
-60.20348,-32.90414,high
-60.20757,-32.90496,high
-60.17885,-32.89920,nominal
-60.18296,-32.90002,nominal
-60.18707,-32.90085,nominal
-60.19118,-32.90167,nominal
-60.19528,-32.90249,nominal
-60.20870,-32.90098,high
-60.17999,-32.89521,nominal
-60.18409,-32.89604,nominal
-60.18820,-32.89687,nominal
-60.19230,-32.89769,nominal
-60.20050,-32.89934,nominal
-60.20460,-32.90016,nominal
-60.19640,-32.89851,low
-60.18110,-32.89124,nominal
-60.18521,-32.89206,nominal
-60.19342,-32.89371,nominal
-60.17812,-32.88642,nominal
-60.18223,-32.88725,nominal
-60.18633,-32.88807,nominal
-60.19454,-32.88973,nominal
-60.17924,-32.88243,nominal
